gvkey,conm,tic,cusip,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT
001762,ARMSTRONG HOLDINGS INC,3ACKH,042384107,P,01,LU,19692,20215,19620131,20021104
001789,ASARCO INC,AR.2,043413103,P,01,LU,10364,20220,19620131,19991130
001789,ASARCO INC,AR.2,043413103,C,00X,LU,10364,20220,19500101,19620130
001794,ASHLAND GLOBAL HOLDINGS INC,ASH,044186104,P,01,LC,24272,20222,19620131,E
001803,ASSOCIATED DRY GOODS CORP,DG.2,045573102,P,01,LU,10559,22202,19620131,19861031
001803,ASSOCIATED DRY GOODS CORP,DG.2,045573102,C,00X,LC,10559,22202,19500201,19620130
001831,ASSOCIATES FIRST CAP -CL A,AFS,046008108,P,01,LC,83440,31626,19960508,20001201
001837,SOUTHERN CO GAS,SO7,84399X001,P,01,LC,15553,116,19721214,20160630
001848,ATLANTIC RICHFIELD CO,ARC.3,048825103,P,01,LU,10604,20227,19620131,20000428
001848,ATLANTIC RICHFIELD CO,ARC.3,048825103,C,00X,LU,10604,20227,19500101,19620130
001878,AUTODESK INC,ADSK,052769106,P,01,LU,85631,7623,19850731,E
001891,AUTOMATIC DATA PROCESSING,ADP,053015103,P,01,LC,44644,20235,19670626,E
001913,AVERY DENNISON CORP,AVY,053611109,P,01,LU,44601,20238,19670620,E
001920,AVON PRODUCTS,AVP,054303102,P,01,LU,40416,20240,19640420,E
001925,AZCON CORP,AZNC,054775101,C,01,LC,16118,429,19721214,19780228
001925,AZCON CORP,AZNC,054775101,C,01,LC,10436,22191,19670331,19710618
001965,BABCOCK & WILCOX CO-OLD,BAW.,056147101,P,01,LU,24854,23296,19620131,19780331
001965,BABCOCK & WILCOX CO-OLD,BAW.,056147101,C,00X,LU,24854,23296,19520630,19620130
001976,BAKER HUGHES INC,BHI,057224107,P,01,LC,28134,23520,19620131,19870403
001976,BAKER HUGHES INC,BHI,057224107,P,01,LC,75034,20253,19870424,E
001976,BAKER HUGHES INC,BHI,057224107,C,00X,LC,28134,23520,19611003,19620130
001988,BALL CORP,BLL,058498106,P,01,LU,57568,20257,19721214,E
001990,BALLY ENTERTAINMENT CORP,BLY,05873C106,P,01,LU,58480,54172,19721214,19961231
001995,CONSTELLATION ENERGY GRP INC,CEG,210371100,C,00X,LC,24221,20258,19510101,19620130
001995,CONSTELLATION ENERGY GRP INC,CEG,210371100,P,01,LC,24221,20258,19620131,20120312
001998,BANK ONE CORP,ONE.1,06423A103,P,01,LU,65138,606,19721214,20040630
002014,BANKBOSTON CORP,BKB.2,06605R106,P,01,LU,51772,20264,19710107,19990930
002019,BANK OF NEW YORK MELLON CORP,BK,064058100,P,01,LC,49656,20265,19691204,E
002024,BANKAMERICA CORP-OLD,BAC.Z.,066050105,P,01,LU,58827,437,19721214,19980930
002029,BANKERS TRUST CORP,BT.2,066365107,P,01,LU,48354,20266,19690516,19990630
002044,BARD (C.R.) INC,BCR,067383109,P,01,LU,46877,20268,19680930,E
002051,BARNETT BANKS INC,BBI.2,068055102,P,01,LU,61284,586,19721214,19980109
002055,BARRICK GOLD CORP,ABX,067901108,P,01,LU,71298,20065,19850201,E
002080,BASSETT FURNITURE INDS,BSET,070203104,P,01,LU,17137,676,19721214,E
002085,BAUSCH & LOMB HLDGS  -REDH,6583B,71799B937,P,01,LU,26518,20276,19620131,20071026
002086,BAXTER INTERNATIONAL INC,BAX,071813109,P,01,LC,27887,20277,19620131,E
002095,BAYUK CIGARS INC,BYK.,073239105,P,01,LU,10727,22219,19620131,19820630
002095,BAYUK CIGARS INC,BYK.,073239105,C,00X,LU,10727,22219,19500101,19620130
002102,BEATRICE COS INC,4708C,074077934,P,02,LU,17953,22818,19620131,19860417
002102,BEATRICE COS INC,4708C,074077934,C,00X,LU,17953,22818,19500301,19620130
002110,BE HOLDINGS INC  -CL A,5372C,055382931,P,02,LU,16651,22708,19620131,19880129
002110,BE HOLDINGS INC  -CL A,5372C,055382931,C,00X,LU,16651,22708,19501230,19620130
002111,BECTON DICKINSON & CO,BDX,075887109,P,01,LU,39642,20284,19630925,E
002122,BEKER INDUSTRIES,BKI910,077266104,P,01,LU,57488,25572,19731031,19881031
002129,BELDEN CORP,BEL.1,077455103,P,01,LU,50534,25133,19700501,19801128
002136,VERIZON COMMUNICATIONS INC,VZ,92343V104,P,01,LC,65875,20288,19831130,E
002146,BELLSOUTH CORP,BLS,079860102,P,01,LC,65883,20290,19840216,20061229
002154,BEMIS CO INC,BMS,081437105,P,01,LU,43772,20292,19660913,E
002157,BENDIX CORP,ALD1,081689002,C,00X,LU,10751,22223,19491001,19620130
002157,BENDIX CORP,ALD1,081689002,P,01,LU,10751,22223,19620131,19830131
002159,BENEFICIAL CORP,BNL.1,081721102,P,01,LU,19377,20293,19620131,19980731
