gvkey,gvkeyx,from,thru,conm,tic,co_conm,co_tic,co_cusip
164296,000003,20100301,,S&P 500 Comp-Ltd,I0003,DISCOVERY COMMUNICATIONS INC,DISCA,25470F104
008151,000003,20100315,,S&P 500 Comp-Ltd,I0003,ONEOK INC,OKE,682680103
012850,000003,20100430,,S&P 500 Comp-Ltd,I0003,CERNER CORP,CERN,156782104
064410,000003,20100628,,S&P 500 Comp-Ltd,I0003,CARMAX INC,KMX,143130102
154357,000003,20100701,20150630,S&P 500 Comp-Ltd,I0003,QEP RESOURCES INC,QEP,74733V100
028034,000003,20100715,,S&P 500 Comp-Ltd,I0003,CHUBB LTD,CB,H1467J104
010787,000003,20100827,20160905,S&P 500 Comp-Ltd,I0003,TYCO INTERNATIONAL PLC,TYC,G91442106
005959,000003,20101117,,S&P 500 Comp-Ltd,I0003,INGERSOLL-RAND PLC,IR,G47791101
029173,000003,20101220,,S&P 500 Comp-Ltd,I0003,NEWFIELD EXPLORATION CO,NFX,651290108
121077,000003,20101220,,S&P 500 Comp-Ltd,I0003,F5 NETWORKS INC,FFIV,315616102
147579,000003,20101220,,S&P 500 Comp-Ltd,I0003,NETFLIX INC,NFLX,64110L106
012485,000003,20101220,20160623,S&P 500 Comp-Ltd,I0003,ALTICE USA INC,ATUS,12686C109
186106,000003,20110104,20120524,S&P 500 Comp-Ltd,I0003,MOTOROLA MOBILITY HLDGS INC,MMI.3,620097105
011925,000003,20110118,20150719,S&P 500 Comp-Ltd,I0003,NOBLE CORP PLC,NE,G65431101
013003,000003,20110228,20151007,S&P 500 Comp-Ltd,I0003,JOY GLOBAL INC,JOY,481165108
177264,000003,20110301,20150126,S&P 500 Comp-Ltd,I0003,COVIDIEN PLC,COV,G2554F113
133366,000003,20110401,,S&P 500 Comp-Ltd,I0003,EDWARDS LIFESCIENCES CORP,EW,28176E108
124434,000003,20110404,,S&P 500 Comp-Ltd,I0003,BLACKROCK INC,BLK,09247X101
165914,000003,20110428,,S&P 500 Comp-Ltd,I0003,CHIPOTLE MEXICAN GRILL INC,CMG,169656105
162448,000003,20110602,20121001,S&P 500 Comp-Ltd,I0003,ALPHA NATURAL RESOURCES INC,ANRZQ,02076X102
186989,000003,20110701,,S&P 500 Comp-Ltd,I0003,MARATHON PETROLEUM CORP,MPC,56585A102
143357,000003,20110706,,S&P 500 Comp-Ltd,I0003,ACCENTURE PLC,ACN,G1151C101
162129,000003,20110926,,S&P 500 Comp-Ltd,I0003,MOSAIC CO,MOS,61945C103
