Date,ShortVolume,ShortExemptVolume,TotalVolume
2018-01-23,96569.0,0.0,117757.0
2018-01-22,68397.0,0.0,88586.0
2018-01-19,29346.0,300.0,46770.0
2018-01-18,23865.0,0.0,48944.0
2018-01-17,44004.0,0.0,78578.0
2018-01-16,7069.0,0.0,44688.0
2018-01-12,44703.0,0.0,93520.0
2018-01-11,42277.0,0.0,70972.0
2018-01-10,37496.0,0.0,112549.0
2018-01-09,130589.0,0.0,182247.0
2018-01-08,42470.0,0.0,116225.0
2018-01-05,26357.0,0.0,56826.0
2018-01-04,64085.0,140.0,139971.0
2018-01-03,68547.0,5800.0,108225.0
2018-01-02,131277.0,0.0,342589.0
2017-12-29,121803.0,200.0,198453.0
2017-12-28,98936.0,200.0,199783.0
2017-12-27,67035.0,0.0,180487.0
2017-12-26,58386.0,0.0,141598.0
2017-12-22,175166.0,220.0,300186.0
2017-12-21,145819.0,2269.0,371624.0
2017-12-20,120285.0,831.0,277031.0
2017-12-19,100598.0,5612.0,184263.0
2017-12-18,158151.0,5944.0,366271.0
2017-12-15,176602.0,100.0,316409.0
2017-12-14,60895.0,0.0,78017.0
2017-12-13,81353.0,0.0,146229.0
2017-12-12,164010.0,11700.0,241917.0
2017-12-11,114321.0,50.0,183978.0
2017-12-08,37426.0,0.0,112739.0
2017-12-07,54702.0,3300.0,173666.0
2017-12-06,52248.0,1149.0,84945.0
2017-12-05,87854.0,208.0,126632.0
2017-12-04,70553.0,300.0,183301.0
2017-11-30,78991.0,100.0,157434.0
2017-11-29,131623.0,0.0,272524.0
2017-11-28,145051.0,0.0,390098.0
2017-11-27,101963.0,0.0,227323.0
2017-11-24,39420.0,0.0,94934.0
2017-11-22,116679.0,0.0,276864.0
2017-11-21,44183.0,150.0,190536.0
2017-11-20,106494.0,900.0,217278.0
2017-11-17,127796.0,0.0,257652.0
2017-11-16,237880.0,818.0,391382.0
2017-11-15,100315.0,0.0,236317.0
2017-11-14,167787.0,2529.0,272630.0
2017-11-13,118138.0,34.0,215646.0
2017-11-10,226286.0,327.0,523344.0
2017-11-09,118227.0,2226.0,254952.0
2017-11-08,207292.0,8591.0,469999.0
2017-11-07,109775.0,130.0,225665.0
2017-11-06,78514.0,400.0,152345.0
2017-11-03,275056.0,400.0,510121.0
2017-11-02,215778.0,5500.0,705799.0
2017-11-01,198395.0,839.0,447623.0
2017-10-31,112258.0,6830.0,203551.0
2017-10-30,138995.0,310.0,269559.0
2017-10-27,107500.0,3700.0,259479.0
2017-10-26,254036.0,11856.0,615067.0
2017-10-25,304052.0,3745.0,497954.0
2017-10-24,566620.0,1398.0,1245456.0
2017-10-23,458854.0,2299.0,727237.0
2017-10-20,449994.0,1820.0,876853.0
2017-10-19,306929.0,24143.0,891812.0
2017-10-18,415694.0,5025.0,881372.0
2017-10-17,597115.0,7502.0,994376.0
2017-10-16,344410.0,3905.0,666723.0
2017-10-13,211712.0,3387.0,436256.0
2017-10-12,669665.0,6776.0,1405568.0
