Date,Price,Open,High,Low,Vol.,Change %
2016-05-19,60.48,60.49,63.17,60.21,-,-0.02%
2016-05-18,60.49,60.76,62.04,58.5,-,-0.44%
2016-05-17,60.76,59.27,61.64,58.71,-,2.29%
2016-05-16,59.4,59.67,60.03,58.02,-,-0.49%
2016-05-13,59.69,59.98,61.14,58.44,-,-0.02%
2016-05-12,59.7,60.52,62.77,59.25,-,-3.16%
2016-05-11,61.65,60.22,61.69,59.58,-,2.29%
2016-05-10,60.27,60.85,60.9,59.17,-,-0.95%
2016-05-09,60.85,61.12,61.49,59.89,-,0.12%
2016-05-06,60.78,62.59,64.22,59.87,-,-2.89%
2016-05-05,62.59,62.24,63.74,61.34,-,1.38%
2016-05-04,61.74,62.68,64.5,61.22,-,-1.44%
2016-05-03,62.64,62.87,64.06,61.55,-,2.35%
2016-05-02,61.2,62.89,63.66,61.07,-,-2.31%
2016-04-29,62.65,63.56,65.29,60.61,-,-1.43%
2016-04-28,63.56,62.69,64.51,60.85,-,1.39%
2016-04-27,62.69,63.17,65.33,61.97,-,-0.76%
2016-04-26,63.17,64.14,65.53,62.65,-,-1.51%
2016-04-25,64.14,64.33,65.81,62.55,-,-0.36%
2016-04-22,64.37,64.45,65.86,63.1,-,0.25%
2016-04-21,64.21,62.57,65.93,62.05,-,2.52%
2016-04-20,62.63,62.18,63,60.79,-,0.72%
2016-04-19,62.18,61.2,62.91,60.94,-,0.39%
2016-04-18,61.94,61.73,63.28,61.21,-,0.34%
2016-04-15,61.73,62.63,63.39,61.73,-,-1.63%
2016-04-14,62.75,61.31,63.04,60.45,-,2.35%
2016-04-13,61.31,62.28,63.56,60.76,-,-3.25%
2016-04-12,63.37,65.8,65.83,62.33,-,-3.69%
2016-04-11,65.8,64.14,65.8,62.91,-,2.59%
2016-04-08,64.14,63.75,66.17,63.25,-,0.61%
2016-04-07,63.75,62.46,65.09,62.46,-,2.07%
2016-04-06,62.46,64.6,66.27,61.97,-,-3.74%
2016-04-05,64.89,64.04,65.41,63.6,-,3.18%
2016-04-04,62.89,61.32,63.19,60.54,-,2.56%
2016-04-01,61.32,64.38,64.49,61.03,-,-2.90%
2016-03-31,63.15,62.22,63.69,60.87,-,2.17%
2016-03-30,61.81,61.78,62.5,60.29,-,0.05%
2016-03-29,61.78,61.85,63.76,61.04,-,-0.11%
2016-03-28,61.85,62.64,62.67,60.76,-,-1.26%
2016-03-24,62.64,65.18,66.05,62.64,-,-1.93%
2016-03-23,63.87,64.13,65.27,62.81,-,-0.41%
2016-03-22,64.13,65.45,65.95,63.75,-,-2.02%
2016-03-21,65.45,65.59,66.1,64.2,-,-0.21%
2016-03-18,65.59,63.73,65.69,61.92,-,3.23%
2016-03-17,63.54,64.64,67.18,61.39,-,-1.88%
2016-03-16,64.76,64.79,67.19,63.99,-,-0.05%
2016-03-15,64.79,66.18,66.36,64.23,-,0.40%
2016-03-14,64.53,65.89,66.08,63.77,-,-1.38%
2016-03-11,65.43,64.85,66.16,63.42,-,-1.36%
2016-03-10,66.33,66.82,69.11,64.37,-,-0.03%
2016-03-09,66.35,66.61,68.37,64.39,-,-0.39%
2016-03-08,66.61,63.8,67.13,63.8,-,4.37%
2016-03-07,63.82,64.31,65.21,62.45,-,-0.76%
2016-03-04,64.31,63.83,65.34,62.45,-,0.75%
2016-03-03,63.83,64.54,65.17,62.26,-,-0.64%
2016-03-02,64.24,65.61,66.86,63.67,-,-0.62%
2016-03-01,64.64,67.34,67.41,64.35,-,-4.01%
2016-02-29,67.34,64.47,67.84,64.38,-,3.50%
2016-02-26,65.06,64.95,66.34,63.29,-,0.17%
2016-02-25,64.95,66.42,68.28,64.52,-,-2.21%
2016-02-24,66.42,68.7,70.02,66.23,-,-1.76%
2016-02-23,67.61,67.24,69.59,66.28,-,2.19%
2016-02-22,66.16,66.48,67.32,64.95,-,-0.48%
2016-02-19,66.48,67.11,68.8,65.97,-,-0.94%
2016-02-18,67.11,67.84,69.05,64.85,-,-1.08%
2016-02-17,67.84,67.24,68.49,64.68,-,0.89%
2016-02-16,67.24,67.7,69.1,65.59,-,-0.68%
2016-02-12,67.7,64.87,68.84,64.38,-,4.17%
2016-02-11,64.99,66.21,69.78,64.45,-,-1.84%
2016-02-10,66.21,64.36,67.38,63.44,-,0.17%
2016-02-09,66.1,68.04,70.08,64.23,-,0.46%
2016-02-08,65.8,66.49,69.98,65.11,-,-1.04%
2016-02-05,66.49,66.66,69.19,66.07,-,-0.92%
2016-02-04,67.11,65.34,69.09,64.96,-,2.40%
2016-02-03,65.54,65.52,67.2,63.95,-,0.41%
2016-02-02,65.27,65.02,68.04,65.02,-,0.38%
2016-02-01,65.02,64.79,66.84,62.86,-,0.35%
2016-01-29,64.79,64.65,66.42,63.76,-,-2.86%
2016-01-28,66.7,67.33,68.72,64.33,-,-1.32%
2016-01-27,67.59,67.22,70.32,64.79,-,0.55%
2016-01-26,67.22,66.73,67.94,65.72,-,-0.06%
2016-01-25,67.26,67.82,68.96,65.99,-,-0.33%
2016-01-22,67.48,68.57,69.2,65.86,-,-1.59%
2016-01-21,68.57,66.12,69.46,64.83,-,5.62%
2016-01-20,64.92,69.28,71.02,62.79,-,-2.36%
2016-01-19,66.49,64.92,70.04,64.42,-,2.42%
2016-01-15,64.92,69.44,69.44,63.94,-,1.53%
2016-01-14,63.94,67.31,68.53,62.91,-,-5.87%
2016-01-13,67.93,64.71,70.34,63.46,-,3.95%
2016-01-12,65.35,65.87,68.19,62.72,-,-0.79%
2016-01-11,65.87,66.3,69.13,64.93,-,-0.65%
2016-01-08,66.3,66.47,67.17,63.18,-,-0.26%
2016-01-07,66.47,64.89,68.03,64.16,-,2.43%
2016-01-06,64.89,63.33,67.43,63.33,-,2.46%
2016-01-05,63.33,65.25,65.88,62.9,-,-2.85%
2016-01-04,65.19,64.19,67.12,64.08,-,1.56%
2015-12-31,64.19,64.36,65.51,63.23,-,0.91%
2015-12-30,63.61,62.73,63.97,62.17,-,1.40%
2015-12-29,62.73,61.23,63.38,60.47,-,0.06%
2015-12-28,62.69,61.83,64.26,61.83,-,1.39%
2015-12-24,61.83,61.95,63.37,61.48,-,-0.19%
2015-12-23,61.95,62.87,63.46,61.44,-,-2.55%
2015-12-22,63.57,64.87,66.29,63.24,-,-2.18%
2015-12-21,64.99,64.69,67.46,64.39,-,0.12%
2015-12-18,64.91,65.43,66.93,63.68,-,-0.72%
2015-12-17,65.38,61.66,65.38,61.66,-,5.86%
2015-12-16,61.76,63.22,66.12,60.17,-,-3.59%
2015-12-15,64.06,62.62,64.42,61.98,-,1.65%
2015-12-14,63.02,65.32,67.74,62.26,-,-4.30%
2015-12-11,65.85,64.29,66.73,62.63,-,2.43%
2015-12-10,64.29,64.35,65.3,61.76,-,-1.26%
2015-12-09,65.11,63.22,67.24,62.28,-,3.09%
2015-12-08,63.16,64.63,64.94,61.46,-,0.41%
2015-12-07,62.9,61.48,64.29,61.48,-,2.31%
2015-12-04,61.48,64.66,64.66,60.81,-,-4.92%
2015-12-03,64.66,63.99,65.01,61.57,-,1.05%
2015-12-02,63.99,62.44,64.12,61.55,-,3.98%
2015-12-01,61.54,64.19,64.19,61.26,-,6.42%
2015-11-30,57.83,56.59,58.57,56.23,-,1.76%
2015-11-27,56.83,57.05,58.07,55.12,-,-1.13%
2015-11-25,57.48,57.16,57.85,55.26,-,0.56%
2015-11-24,57.16,57.84,59.13,54.46,-,0.00%
2015-11-23,57.16,55.96,57.75,54.17,-,1.76%
2015-11-20,56.17,57.79,57.79,54.47,-,-2.80%
2015-11-19,57.79,54.75,57.79,53.42,-,5.55%
2015-11-18,54.75,56.98,57.41,53.75,-,-3.41%
2015-11-17,56.68,55.87,58.49,54.52,-,-2.07%
