Date,Price,Open,High,Low,Vol.,Change %
2019-04-30,"1,011.00","1,011.00","1,011.00","1,011.00",-,10.73%
2019-04-29,913,913,913,913,-,2.70%
2019-04-26,889,889,889,889,-,2.30%
2019-04-25,869,869,869,869,-,2.24%
2019-04-24,850,850,850,850,-,3.53%
2019-04-23,821,821,821,821,-,3.92%
2019-04-18,790,790,790,790,-,3.00%
2019-04-17,767,767,767,767,-,2.40%
2019-04-16,749,749,749,749,-,1.49%
2019-04-15,738,738,738,738,-,1.65%
2019-04-12,726,726,726,726,-,-0.27%
2019-04-11,728,728,728,728,-,-0.82%
2019-04-10,734,734,734,734,-,1.24%
2019-04-09,725,725,725,725,-,1.54%
2019-04-08,714,714,714,714,-,0.42%
2019-04-05,711,711,711,711,-,1.72%
2019-04-04,699,699,699,699,-,4.02%
2019-04-03,672,672,672,672,-,-0.30%
2019-04-02,674,674,674,674,-,-1.61%
2019-04-01,685,685,685,685,-,-0.58%
2019-03-29,689,689,689,689,-,-0.43%
2019-03-28,692,692,692,692,-,0.29%
2019-03-27,690,690,690,690,-,1.02%
2019-03-26,683,683,683,683,-,-0.87%
2019-03-25,689,689,689,689,-,-0.14%
2019-03-22,690,690,690,690,-,-0.72%
2019-03-21,695,695,695,695,-,-1.97%
2019-03-20,709,709,709,709,-,-0.42%
2019-03-19,712,712,712,712,-,-1.25%
2019-03-18,721,721,721,721,-,-1.23%
2019-03-15,730,730,730,730,-,7.83%
2019-03-14,677,677,677,677,-,3.52%
2019-03-13,654,654,654,654,-,1.08%
2019-03-12,647,647,647,647,-,0.31%
2019-03-11,645,645,645,645,-,-0.62%
2019-03-08,649,649,649,649,-,-1.22%
2019-03-07,657,657,657,657,-,-1.05%
2019-03-06,664,664,664,664,-,0.15%
2019-03-05,663,663,663,663,-,-0.90%
2019-03-04,669,669,669,669,-,0.75%
2019-03-01,664,664,664,664,-,0.91%
2019-02-28,658,658,658,658,-,1.08%
2019-02-27,651,651,651,651,-,0.31%
2019-02-26,649,649,649,649,-,1.88%
2019-02-25,637,637,637,637,-,0.47%
2019-02-22,634,634,634,634,-,0.63%
2019-02-21,630,630,630,630,-,1.29%
2019-02-20,622,622,622,622,-,-2.05%
2019-02-19,635,635,635,635,-,-1.24%
2019-02-18,643,643,643,643,-,0.63%
2019-02-15,639,639,639,639,-,1.75%
2019-02-14,628,628,628,628,-,3.29%
2019-02-13,608,608,608,608,-,1.67%
2019-02-12,598,598,598,598,-,0.50%
2019-02-11,595,595,595,595,-,-1.00%
2019-02-08,601,601,601,601,-,-1.48%
2019-02-07,610,610,610,610,-,-3.02%
2019-02-06,629,629,629,629,-,0.00%
2019-02-05,629,629,629,629,-,-0.79%
2019-02-04,634,634,634,634,-,-1.71%
2019-02-01,645,645,645,645,-,-3.44%
2019-01-31,668,668,668,668,-,-7.35%
2019-01-30,721,721,721,721,-,-9.54%
2019-01-29,797,797,797,797,-,-6.46%
2019-01-28,852,852,852,852,-,-5.86%
2019-01-25,905,905,905,905,-,-3.62%
2019-01-24,939,939,939,939,-,-4.38%
2019-01-23,982,982,982,982,-,-5.21%
2019-01-22,"1,036.00","1,036.00","1,036.00","1,036.00",-,-5.13%
2019-01-21,"1,092.00","1,092.00","1,092.00","1,092.00",-,-1.80%
2019-01-18,"1,112.00","1,112.00","1,112.00","1,112.00",-,3.25%
2019-01-17,"1,077.00","1,077.00","1,077.00","1,077.00",-,2.09%
2019-01-16,"1,055.00","1,055.00","1,055.00","1,055.00",-,-3.74%
2019-01-15,"1,096.00","1,096.00","1,096.00","1,096.00",-,-4.45%
2019-01-14,"1,147.00","1,147.00","1,147.00","1,147.00",-,-1.88%
2019-01-11,"1,169.00","1,169.00","1,169.00","1,169.00",-,-1.68%
2019-01-10,"1,189.00","1,189.00","1,189.00","1,189.00",-,-3.96%
2019-01-09,"1,238.00","1,238.00","1,238.00","1,238.00",-,-1.90%
2019-01-08,"1,262.00","1,262.00","1,262.00","1,262.00",-,1.20%
2019-01-07,"1,247.00","1,247.00","1,247.00","1,247.00",-,-1.03%
2019-01-04,"1,260.00","1,260.00","1,260.00","1,260.00",-,-0.55%
2019-01-03,"1,267.00","1,267.00","1,267.00","1,267.00",-,-1.17%
2019-01-02,"1,282.00","1,282.00","1,282.00","1,282.00",-,0.87%
2018-12-24,"1,271.00","1,271.00","1,271.00","1,271.00",-,-0.63%
2018-12-21,"1,279.00","1,279.00","1,279.00","1,279.00",-,-2.96%
2018-12-20,"1,318.00","1,318.00","1,318.00","1,318.00",-,-4.35%
2018-12-19,"1,378.00","1,378.00","1,378.00","1,378.00",-,-1.22%
2018-12-18,"1,395.00","1,395.00","1,395.00","1,395.00",-,-0.78%
2018-12-17,"1,406.00","1,406.00","1,406.00","1,406.00",-,0.36%
2018-12-14,"1,401.00","1,401.00","1,401.00","1,401.00",-,2.64%
2018-12-13,"1,365.00","1,365.00","1,365.00","1,365.00",-,0.89%
2018-12-12,"1,353.00","1,353.00","1,353.00","1,353.00",-,-0.81%
2018-12-11,"1,364.00","1,364.00","1,364.00","1,364.00",-,-1.52%
2018-12-10,"1,385.00","1,385.00","1,385.00","1,385.00",-,0.95%
2018-12-07,"1,372.00","1,372.00","1,372.00","1,372.00",-,2.46%
2018-12-06,"1,339.00","1,339.00","1,339.00","1,339.00",-,3.32%
2018-12-05,"1,296.00","1,296.00","1,296.00","1,296.00",-,4.77%
2018-12-04,"1,237.00","1,237.00","1,237.00","1,237.00",-,2.83%
2018-12-03,"1,203.00","1,203.00","1,203.00","1,203.00",-,-2.27%
2018-11-30,"1,231.00","1,231.00","1,231.00","1,231.00",-,-3.90%
2018-11-29,"1,281.00","1,281.00","1,281.00","1,281.00",-,-3.68%
2018-11-28,"1,330.00","1,330.00","1,330.00","1,330.00",-,-0.67%
2018-11-27,"1,339.00","1,339.00","1,339.00","1,339.00",-,10.02%
2018-11-26,"1,217.00","1,217.00","1,217.00","1,217.00",-,11.34%
2018-11-23,"1,093.00","1,093.00","1,093.00","1,093.00",-,7.37%
2018-11-22,"1,018.00","1,018.00","1,018.00","1,018.00",-,0.99%
2018-11-21,"1,008.00","1,008.00","1,008.00","1,008.00",-,0.50%
2018-11-20,"1,003.00","1,003.00","1,003.00","1,003.00",-,-1.96%
2018-11-19,"1,023.00","1,023.00","1,023.00","1,023.00",-,-0.78%
2018-11-16,"1,031.00","1,031.00","1,031.00","1,031.00",-,1.08%
2018-11-15,"1,020.00","1,020.00","1,020.00","1,020.00",-,1.09%
2018-11-14,"1,009.00","1,009.00","1,009.00","1,009.00",-,-5.17%
2018-11-13,"1,064.00","1,064.00","1,064.00","1,064.00",-,-5.42%
2018-11-12,"1,125.00","1,125.00","1,125.00","1,125.00",-,-1.92%
2018-11-09,"1,147.00","1,147.00","1,147.00","1,147.00",-,-6.82%
2018-11-08,"1,231.00","1,231.00","1,231.00","1,231.00",-,-5.60%
2018-11-07,"1,304.00","1,304.00","1,304.00","1,304.00",-,-6.52%
2018-11-06,"1,395.00","1,395.00","1,395.00","1,395.00",-,-2.31%
2018-11-05,"1,428.00","1,428.00","1,428.00","1,428.00",-,-1.99%
2018-11-02,"1,457.00","1,457.00","1,457.00","1,457.00",-,-0.88%
2018-11-01,"1,470.00","1,470.00","1,470.00","1,470.00",-,-1.34%
2018-10-31,"1,490.00","1,490.00","1,490.00","1,490.00",-,-1.52%
2018-10-30,"1,513.00","1,513.00","1,513.00","1,513.00",-,-0.59%
2018-10-29,"1,522.00","1,522.00","1,522.00","1,522.00",-,0.20%
2018-10-26,"1,519.00","1,519.00","1,519.00","1,519.00",-,0.20%
2018-10-25,"1,516.00","1,516.00","1,516.00","1,516.00",-,-1.94%
2018-10-24,"1,546.00","1,546.00","1,546.00","1,546.00",-,-1.97%
2018-10-23,"1,577.00","1,577.00","1,577.00","1,577.00",-,-0.13%
2018-10-22,"1,579.00","1,579.00","1,579.00","1,579.00",-,0.19%
2018-10-19,"1,576.00","1,576.00","1,576.00","1,576.00",-,0.70%
2018-10-18,"1,565.00","1,565.00","1,565.00","1,565.00",-,0.71%
2018-10-17,"1,554.00","1,554.00","1,554.00","1,554.00",-,-1.52%
2018-10-16,"1,578.00","1,578.00","1,578.00","1,578.00",-,-0.38%
2018-10-15,"1,584.00","1,584.00","1,584.00","1,584.00",-,0.32%
2018-10-12,"1,579.00","1,579.00","1,579.00","1,579.00",-,4.22%
2018-10-11,"1,515.00","1,515.00","1,515.00","1,515.00",-,1.47%
2018-10-10,"1,493.00","1,493.00","1,493.00","1,493.00",-,-0.67%
2018-10-09,"1,503.00","1,503.00","1,503.00","1,503.00",-,-1.76%
2018-10-08,"1,530.00","1,530.00","1,530.00","1,530.00",-,-0.39%
2018-10-05,"1,536.00","1,536.00","1,536.00","1,536.00",-,-1.16%
2018-10-04,"1,554.00","1,554.00","1,554.00","1,554.00",-,-1.27%
